test_name,planner_name,num_agents,planning_time,plan_cost,num_hl_expanded,num_hl_generated,num_ll_expanded,num_ll_generated,hl_focal_weight,ll_focal_weight,wastar_weight,num_collision_checks,description,stamp
test164,EAECBS_L2_HEURISTIC,2,0.4453,6.70206,0,0,29,-1,1.3,1.3,55,8597,from random4 to right_push_up,2024-10-30T00:56:54
test165,EAECBS_L2_HEURISTIC,2,0.247637,7.27802,0,0,42,-1,1.3,1.3,55,12410,from random4 to left_rotated,2024-10-30T00:57:02
test166,EAECBS_L2_HEURISTIC,2,0.236537,7.15585,0,0,37,-1,1.3,1.3,55,10839,from random4 to right_rotated,2024-10-30T00:57:11
test167,EAECBS_L2_HEURISTIC,2,0.180355,6.6148,0,0,28,-1,1.3,1.3,55,8305,from random4 to random1,2024-10-30T00:57:19
test168,EAECBS_L2_HEURISTIC,2,0.185038,5.74213,0,0,26,-1,1.3,1.3,55,7787,from random4 to random2,2024-10-30T00:57:28
test169,EAECBS_L2_HEURISTIC,2,0.162435,7.57473,0,0,29,-1,1.3,1.3,55,8515,from random4 to random3,2024-10-30T00:57:36
test170,EAECBS_L2_HEURISTIC,2,0.838112,13.5612,2,4,115,-1,1.3,1.3,55,31619,from random4 to random5,2024-10-30T00:57:46
test171,EAECBS_L2_HEURISTIC,2,0.353959,8.7441,0,0,51,-1,1.3,1.3,55,14870,from random4 to random6,2024-10-30T00:57:54
test172,EAECBS_L2_HEURISTIC,2,0.380705,9.93092,0,0,55,-1,1.3,1.3,55,16124,from random4 to left_push_down,2024-10-30T00:58:03
test173,EAECBS_L2_HEURISTIC,2,0.363186,10.0705,0,0,60,-1,1.3,1.3,55,17451,from random4 to right_push_down,2024-10-30T00:58:12
test174,EAECBS_L2_HEURISTIC,2,0.404122,12.1126,0,0,59,-1,1.3,1.3,55,17315,from random4 to left_forward,2024-10-30T00:58:21
test175,EAECBS_L2_HEURISTIC,2,0.367075,11.6239,0,0,58,-1,1.3,1.3,55,16901,from random4 to right_forward,2024-10-30T00:58:29
test176,EAECBS_L2_HEURISTIC,2,0.311162,10.6814,0,0,55,-1,1.3,1.3,55,16157,from random5 to ready_pose,2024-10-30T00:58:38
test177,EAECBS_L2_HEURISTIC,2,0.444027,14.1197,0,0,76,-1,1.3,1.3,55,22112,from random5 to left_push,2024-10-30T00:58:47
test178,EAECBS_L2_HEURISTIC,2,0.362386,11.6064,0,0,66,-1,1.3,1.3,55,19544,from random5 to right_push,2024-10-30T00:58:56
test179,EAECBS_L2_HEURISTIC,2,0.383211,11.9904,0,0,66,-1,1.3,1.3,55,19174,from random5 to left_push_up,2024-10-30T00:59:04
test180,EAECBS_L2_HEURISTIC,2,0.404415,10.8734,0,0,57,-1,1.3,1.3,55,16757,from random5 to right_push_up,2024-10-30T00:59:13
test181,EAECBS_L2_HEURISTIC,2,0.57453,11.4843,0,0,69,-1,1.3,1.3,55,20111,from random5 to left_rotated,2024-10-30T00:59:22
test182,EAECBS_L2_HEURISTIC,2,0.224261,10.0356,0,0,41,-1,1.3,1.3,55,11993,from random5 to right_rotated,2024-10-30T00:59:30
test183,EAECBS_L2_HEURISTIC,2,0.406829,10.8909,0,0,60,-1,1.3,1.3,55,17444,from random5 to random1,2024-10-30T00:59:39
test184,EAECBS_L2_HEURISTIC,2,0.459594,10.7861,0,0,57,-1,1.3,1.3,55,16625,from random5 to random2,2024-10-30T00:59:48
test185,EAECBS_L2_HEURISTIC,2,0.391495,8.70919,0,0,48,-1,1.3,1.3,55,14213,from random5 to random3,2024-10-30T00:59:57
test186,EAECBS_L2_HEURISTIC,2,0.340268,13.5612,0,0,63,-1,1.3,1.3,55,18371,from random5 to random4,2024-10-30T01:00:05
test187,EAECBS_L2_HEURISTIC,2,1.09866,15.9174,1,2,115,-1,1.3,1.3,55,34175,from random5 to random6,2024-10-30T01:00:15
test188,EAECBS_L2_HEURISTIC,2,0.539701,14.3815,0,0,94,-1,1.3,1.3,55,27365,from random5 to left_push_down,2024-10-30T01:00:24
test189,EAECBS_L2_HEURISTIC,2,0.317614,11.1003,0,0,61,-1,1.3,1.3,55,17730,from random5 to right_push_down,2024-10-30T01:00:32
test190,EAECBS_L2_HEURISTIC,2,0.528703,16.2141,0,0,92,-1,1.3,1.3,55,26807,from random5 to left_forward,2024-10-30T01:00:41
test191,EAECBS_L2_HEURISTIC,2,0.374977,13.3518,0,0,62,-1,1.3,1.3,55,18101,from random5 to right_forward,2024-10-30T01:00:50
test192,EAECBS_L2_HEURISTIC,2,0.283292,10.6814,0,0,53,-1,1.3,1.3,55,15498,from random6 to ready_pose,2024-10-30T01:00:59
test193,EAECBS_L2_HEURISTIC,2,0.365167,11.8508,0,0,64,-1,1.3,1.3,55,18694,from random6 to left_push,2024-10-30T01:01:08
test194,EAECBS_L2_HEURISTIC,2,0.458734,13.0725,0,0,78,-1,1.3,1.3,55,22766,from random6 to right_push,2024-10-30T01:01:16
test195,EAECBS_L2_HEURISTIC,2,0.376779,10.8734,0,0,54,-1,1.3,1.3,55,15757,from random6 to left_push_up,2024-10-30T01:01:25
test196,EAECBS_L2_HEURISTIC,2,0.350363,11.7461,0,0,62,-1,1.3,1.3,55,18056,from random6 to right_push_up,2024-10-30T01:01:34
test197,EAECBS_L2_HEURISTIC,2,0.228362,10.1578,0,0,43,-1,1.3,1.3,55,12541,from random6 to left_rotated,2024-10-30T01:01:42
test198,EAECBS_L2_HEURISTIC,2,0.568136,11.6064,0,0,69,-1,1.3,1.3,55,20075,from random6 to right_rotated,2024-10-30T01:01:51
test199,EAECBS_L2_HEURISTIC,2,0.457242,10.7861,0,0,57,-1,1.3,1.3,55,16587,from random6 to random1,2024-10-30T01:02:00
test200,EAECBS_L2_HEURISTIC,2,0.409696,10.8909,0,0,60,-1,1.3,1.3,55,17522,from random6 to random2,2024-10-30T01:02:09
test201,EAECBS_L2_HEURISTIC,2,0.351108,13.5612,0,0,66,-1,1.3,1.3,55,19196,from random6 to random3,2024-10-30T01:02:18
test202,EAECBS_L2_HEURISTIC,2,0.381765,8.70919,0,0,48,-1,1.3,1.3,55,14005,from random6 to random4,2024-10-30T01:02:27
test203,EAECBS_L2_HEURISTIC,2,1.11874,16.2316,1,2,125,-1,1.3,1.3,55,37408,from random6 to random5,2024-10-30T01:02:36
test204,EAECBS_L2_HEURISTIC,2,0.314542,11.1003,0,0,61,-1,1.3,1.3,55,17795,from random6 to left_push_down,2024-10-30T01:02:45
test205,EAECBS_L2_HEURISTIC,2,0.533161,14.3815,0,0,93,-1,1.3,1.3,55,26994,from random6 to right_push_down,2024-10-30T01:02:54
test206,EAECBS_L2_HEURISTIC,2,0.372442,13.3518,0,0,62,-1,1.3,1.3,55,18353,from random6 to left_forward,2024-10-30T01:03:03
test207,EAECBS_L2_HEURISTIC,2,0.520438,16.2141,0,0,92,-1,1.3,1.3,55,26730,from random6 to right_forward,2024-10-30T01:03:12
test208,EAECBS_L2_HEURISTIC,2,0.244134,7.53982,0,0,43,-1,1.3,1.3,55,12584,from left_push_down to ready_pose,2024-10-30T01:03:20
test209,EAECBS_L2_HEURISTIC,2,0.266006,7.03368,0,0,43,-1,1.3,1.3,55,12584,from left_push_down to left_push,2024-10-30T01:03:29
test210,EAECBS_L2_HEURISTIC,2,0.128627,3.89208,0,0,21,-1,1.3,1.3,55,6150,from left_push_down to right_push,2024-10-30T01:03:37
test211,EAECBS_L2_HEURISTIC,2,0.324294,6.02139,1,2,53,-1,1.3,1.3,55,15188,from left_push_down to left_push_up,2024-10-30T01:03:46
test212,EAECBS_L2_HEURISTIC,2,0.178013,4.93928,0,0,30,-1,1.3,1.3,55,8793,from left_push_down to right_push_up,2024-10-30T01:03:55
test213,EAECBS_L2_HEURISTIC,2,0.13709,4.60767,0,0,24,-1,1.3,1.3,55,7001,from left_push_down to left_rotated,2024-10-30T01:04:03
test214,EAECBS_L2_HEURISTIC,2,0.318103,7.62709,0,0,57,-1,1.3,1.3,55,16736,from left_push_down to right_rotated,2024-10-30T01:04:12
test215,EAECBS_L2_HEURISTIC,2,0.258714,6.98132,0,0,43,-1,1.3,1.3,55,12683,from left_push_down to random1,2024-10-30T01:04:20
